id,origem,destino,valor,timestamp
ID00000;ORIG009;DEST434;571,51;2024-02-13
ID00001;ORIG000;DEST430;79,40;2020-09-20
ID00002;ORIG010;DEST251;647,06;2020-02-15
ID00003;ORIG035;DEST304;825,58;2024-07-25
ID00004;ORIG007;DEST186;37,29;2024-05-24
ID00005;ORIG059;DEST480;393,75;2024-10-04
ID00006;ORIG010;DEST853;194,37;2020-12-04
ID00007;ORIG098;DEST793;757,91;2023-06-14
ID00008;ORIG008;DEST883;127,78;2024-09-20
ID00009;ORIG004;DEST166;22,79;2024-02-03
ID00010;ORIG002;DEST270;495,50;2023-06-13
ID00011;ORIG019;DEST793;13,14;2021-07-25
ID00012;ORIG005;DEST049;677,74;2020-05-08
ID00013;ORIG004;DEST023;864,57;2023-09-16
ID00014;ORIG017;DEST471;756,47;2024-09-10
ID00015;ORIG004;DEST343;55,31;2021-09-21
ID00016;ORIG000;DEST573;409,81;2021-08-12
ID00017;ORIG001;DEST822;164,44;2023-03-02
ID00018;ORIG004;DEST416;86,24;2021-10-11
ID00019;ORIG011;DEST114;682,86;2023-10-11
ID00020;ORIG018;DEST666;451,55;2022-04-12
ID00021;ORIG017;DEST577;504,27;2020-10-19
ID00013;ORIG005;DEST624;238,05;2020-04-13
ID00023;ORIG003;DEST026;786,51;2022-01-12
ID00024;ORIG005;DEST076;285,15;2022-01-11
ID00025;ORIG004;DEST876;821,94;2024-01-27
ID00026;ORIG018;DEST611;156,76;2022-08-21
ID00027;ORIG013;DEST101;795,43;2023-03-10
ID00028;ORIG011;DEST866;344,61;2023-10-05
ID00017;ORIG014;DEST539;927,39;2022-10-19
ID00030;ORIG016;DEST823;228,86;2024-06-19
ID00031;ORIG009;DEST191;572,03;2021-06-26
ID00032;ORIG008;DEST243;801,90;2021-08-19
ID00033;ORIG013;DEST266;14,99;2024-11-23
ID00034;ORIG013;DEST112;27,53;2020-10-02
ID00035;ORIG002;DEST624;321,73;2021-05-10
ID00015;ORIG003;DEST071;953,58;2022-01-14
ID00037;ORIG002;DEST886;936,89;2022-03-06
ID00038;ORIG008;DEST793;965,51;2023-12-20
ID00039;ORIG001;DEST968;182,71;2021-11-11
ID00040;ORIG006;DEST744;589,68;2021-04-22
ID00041;ORIG006;DEST978;181,60;2022-10-14
ID00042;ORIG013;DEST006;461,58;2021-12-09
ID00043;ORIG005;DEST796;343,09;2023-09-17
ID00044;ORIG003;DEST587;772,49;2022-10-21
ID00045;ORIG008;DEST937;403,59;2020-03-01
ID00046;ORIG001;DEST523;581,16;2023-11-02
ID00047;ORIG004;DEST372;503,06;2024-06-15
ID00048;ORIG009;DEST883;973,79;2021-08-22
ID00049;ORIG003;DEST652;264,02;2023-10-09
ID00050;ORIG018;DEST352;722,00;2020-03-08
ID00051;ORIG000;DEST915;122,61;2020-10-22
ID00052;ORIG019;DEST179;480,95;2021-10-08
ID00053;ORIG012;DEST380;660,73;2022-07-15
ID00054;ORIG007;DEST690;625,93;2023-01-09
ID00055;ORIG012;DEST123;278,65;2021-05-02
ID00056;ORIG014;DEST832;392,27;2023-12-23
