id,origem,destino,valor,timestamp
ID00000;ORIG019;DEST577;75,91;2024-07-09
ID00001;ORIG032;DEST480;773,26;2023-10-13
ID00002;ORIG017;DEST976;43,07;2022-05-18
ID00001;ORIG013;DEST562;743,06;2022-11-11
ID00004;ORIG013;DEST838;544,96;2024-01-05
ID00005;ORIG017;DEST885;154,74;2024-03-15
ID00006;ORIG048;DEST901;763,30;2020-03-11
ID00007;ORIG008;DEST992;399,50;2021-09-07
ID00008;ORIG012;DEST518;290,45;2021-10-27
ID00009;ORIG033;DEST785;805,59;2021-02-02
ID00010;ORIG025;DEST148;175,36;2024-11-23
ID00011;ORIG014;DEST347;958,07;2021-06-23
ID00012;ORIG009;DEST541;877,44;2024-07-19
ID00013;ORIG019;DEST187;543,38;2022-12-21
ID00014;ORIG007;DEST957;21,47;2021-04-24
ID00015;ORIG010;DEST875;262,92;2021-12-01
ID00016;ORIG054;DEST009;509,47;2024-02-15
ID00017;ORIG051;DEST368;659,51;2020-11-23
ID00016;ORIG008;DEST840;725,14;2024-07-02
ID00019;ORIG096;DEST711;159,53;2022-08-18
ID00020;ORIG017;DEST008;246,00;2020-06-22
ID00021;ORIG004;DEST914;820,09;2023-12-04
ID00022;ORIG000;DEST118;385,08;2021-07-13
ID00023;ORIG010;DEST089;680,72;2022-11-16
ID00024;ORIG070;DEST481;845,71;2020-03-21
ID00025;ORIG013;DEST153;958,66;2022-07-01
ID00026;ORIG004;DEST593;850,97;2021-11-14
ID00021;ORIG013;DEST792;497,68;2024-07-03
ID00028;ORIG015;DEST155;860,10;2023-12-16
ID00029;ORIG005;DEST501;757,96;2022-09-05
ID00030;ORIG009;DEST057;46,50;2023-06-23
ID00031;ORIG001;DEST069;814,74;2020-01-11
ID00032;ORIG018;DEST124;213,80;2022-12-26
ID00033;ORIG014;DEST424;837,53;2022-10-28
ID00034;ORIG049;DEST952;950,79;2021-04-23
ID00035;ORIG010;DEST296;553,94;2023-02-14
ID00036;ORIG022;DEST780;772,49;2020-02-14
ID00037;ORIG019;DEST215;748,72;2024-11-10
ID00038;ORIG019;DEST338;665,97;2021-12-16
